"Statistic","Year","Five year age bands","Females","Males","All persons"
"Mid-year population estimate",1996,"Age 20-24",58714,61192,119906
"Mid-year population estimate",1996,"Age 25-29",63715,64514,128229
"Mid-year population estimate",1996,"Age 30-34",65311,63694,129005
"Mid-year population estimate",1996,"Age 35-39",59642,57658,117300
"Mid-year population estimate",1996,"Age 40-44",50838,51390,102228
"Mid-year population estimate",1996,"Age 45-49",50010,48820,98830
"Mid-year population estimate",1996,"Age 50-54",46054,44822,90876
"Mid-year population estimate",1996,"Age 55-59",39185,37135,76320
"Mid-year population estimate",1996,"Age 60-64",36599,33023,69622
"Mid-year population estimate",1996,"Age 65-69",35778,29263,65041
"Mid-year population estimate",1996,"Age 70-74",32860,24660,57520
"Mid-year population estimate",1996,"Age 75-79",25723,17192,42915
"Mid-year population estimate",1996,"Age 80-84",18996,10028,29024
"Mid-year population estimate",1996,"Age 85-89",11052,4398,15450
"Mid-year population estimate",1996,"Age 90+",5511,1346,6857
"Mid-year population estimate",1996,"All",851404,810347,1661751
"Mid-year population estimate",1997,"Age 0-4",59354,62259,121613
"Mid-year population estimate",1997,"Age 5-9",64088,67446,131534
"Mid-year population estimate",1997,"Age 10-14",65535,68625,134160
"Mid-year population estimate",1997,"Age 15-19",62203,63256,125459
"Mid-year population estimate",1997,"Age 20-24",57120,59355,116475
"Mid-year population estimate",1997,"Age 25-29",63267,64196,127463
"Mid-year population estimate",1997,"Age 30-34",65713,64395,130108
"Mid-year population estimate",1997,"Age 35-39",61608,59173,120781
"Mid-year population estimate",1997,"Age 40-44",52581,52708,105289
"Mid-year population estimate",1997,"Age 45-49",49406,48657,98063
"Mid-year population estimate",1997,"Age 50-54",47831,46380,94211
"Mid-year population estimate",1997,"Age 55-59",39752,37819,77571
"Mid-year population estimate",1997,"Age 60-64",36975,33610,70585
"Mid-year population estimate",1997,"Age 65-69",35500,29291,64791
"Mid-year population estimate",1997,"Age 70-74",32727,24742,57469
"Mid-year population estimate",1997,"Age 75-79",26655,17711,44366
"Mid-year population estimate",1997,"Age 80-84",18582,9994,28576
"Mid-year population estimate",1997,"Age 85-89",11230,4468,15698
"Mid-year population estimate",1997,"Age 90+",5615,1434,7049
"Mid-year population estimate",1997,"All",855742,815519,1671261
"Mid-year population estimate",1998,"Age 0-4",58749,61693,120442
"Mid-year population estimate",1998,"Age 5-9",63149,66306,129455
"Mid-year population estimate",1998,"Age 10-14",65749,68927,134676
"Mid-year population estimate",1998,"Age 15-19",62443,64044,126487
"Mid-year population estimate",1998,"Age 20-24",55874,57092,112966
"Mid-year population estimate",1998,"Age 25-29",62625,63286,125911
"Mid-year population estimate",1998,"Age 30-34",66130,64742,130872
"Mid-year population estimate",1998,"Age 35-39",62667,60404,123071
"Mid-year population estimate",1998,"Age 40-44",54321,53979,108300
"Mid-year population estimate",1998,"Age 45-49",49428,49215,98643
"Mid-year population estimate",1998,"Age 50-54",48529,46940,95469
"Mid-year population estimate",1998,"Age 55-59",41323,39319,80642
"Mid-year population estimate",1998,"Age 60-64",37210,34217,71427
"Mid-year population estimate",1998,"Age 65-69",35520,29543,65063
"Mid-year population estimate",1998,"Age 70-74",32565,24718,57283
"Mid-year population estimate",1998,"Age 75-79",27507,18276,45783
"Mid-year population estimate",1998,"Age 80-84",18218,9823,28041
"Mid-year population estimate",1998,"Age 85-89",11298,4610,15908
"Mid-year population estimate",1998,"Age 90+",5795,1535,7330
"Mid-year population estimate",1998,"All",859100,818669,1677769
"Mid-year population estimate",1999,"Age 0-4",57939,61253,119192
"Mid-year population estimate",1999,"Age 5-9",62217,65061,127278
"Mid-year population estimate",1999,"Age 10-14",65557,68987,134544
"Mid-year population estimate",1999,"Age 15-19",62579,64272,126851
"Mid-year population estimate",1999,"Age 20-24",54851,54963,109814
"Mid-year population estimate",1999,"Age 25-29",61164,61041,122205
"Mid-year population estimate",1999,"Age 30-34",65864,64016,129880
"Mid-year population estimate",1999,"Age 35-39",64190,61790,125980
"Mid-year population estimate",1999,"Age 40-44",56155,54995,111150
"Mid-year population estimate",1999,"Age 45-49",49593,49896,99489
"Mid-year population estimate",1999,"Age 50-54",48980,47362,96342
"Mid-year population estimate",1999,"Age 55-59",42586,40821,83407
"Mid-year population estimate",1999,"Age 60-64",37845,34891,72736
"Mid-year population estimate",1999,"Age 65-69",35310,29667,64977
"Mid-year population estimate",1999,"Age 70-74",32510,24742,57252
"Mid-year population estimate",1999,"Age 75-79",28026,18545,46571
"Mid-year population estimate",1999,"Age 80-84",18101,9999,28100
"Mid-year population estimate",1999,"Age 85-89",11297,4646,15943
"Mid-year population estimate",1999,"Age 90+",5744,1551,7295
"Mid-year population estimate",1999,"All",860508,818498,1679006
"Mid-year population estimate",2000,"Age 0-4",56955,60375,117330
"Mid-year population estimate",2000,"Age 5-9",61146,64039,125185
"Mid-year population estimate",2000,"Age 10-14",65094,68494,133588
"Mid-year population estimate",2000,"Age 15-19",63130,64779,127909
"Mid-year population estimate",2000,"Age 20-24",54574,54799,109373
"Mid-year population estimate",2000,"Age 25-29",59720,58999,118719
"Mid-year population estimate",2000,"Age 30-34",65217,63301,128518
"Mid-year population estimate",2000,"Age 35-39",65590,63092,128682
"Mid-year population estimate",2000,"Age 40-44",58308,56272,114580
"Mid-year population estimate",2000,"Age 45-49",49855,50656,100511
"Mid-year population estimate",2000,"Age 50-54",49526,47995,97521
"Mid-year population estimate",2000,"Age 55-59",44022,42293,86315
"Mid-year population estimate",2000,"Age 60-64",38201,35264,73465
"Mid-year population estimate",2000,"Age 65-69",34980,29964,64944
"Mid-year population estimate",2000,"Age 70-74",32738,24844,57582
"Mid-year population estimate",2000,"Age 75-79",27805,18498,46303
"Mid-year population estimate",2000,"Age 80-84",18559,10544,29103
"Mid-year population estimate",2000,"Age 85-89",11403,4682,16085
"Mid-year population estimate",2000,"Age 90+",5643,1588,7231
"Mid-year population estimate",2000,"All",862466,820478,1682944
"Mid-year population estimate",2001,"Age 0-4",55848,59050,114898
"Mid-year population estimate",2001,"Age 5-9",59649,62995,122644
"Mid-year population estimate",2001,"Age 10-14",64663,68068,132731
"Mid-year population estimate",2001,"Age 15-19",63683,66262,129945
"Mid-year population estimate",2001,"Age 20-24",54462,55032,109494
"Mid-year population estimate",2001,"Age 25-29",57779,56822,114601
"Mid-year population estimate",2001,"Age 30-34",65008,62701,127709
"Mid-year population estimate",2001,"Age 35-39",66198,64026,130224
"Mid-year population estimate",2001,"Age 40-44",60318,57900,118218
"Mid-year population estimate",2001,"Age 45-49",51075,51820,102895
"Mid-year population estimate",2001,"Age 50-54",49898,48447,98345
"Mid-year population estimate",2001,"Age 55-59",45450,43851,89301
"Mid-year population estimate",2001,"Age 60-64",38270,35473,73743
"Mid-year population estimate",2001,"Age 65-69",35038,30506,65544
"Mid-year population estimate",2001,"Age 70-74",32783,25089,57872
"Mid-year population estimate",2001,"Age 75-79",28047,18704,46751
"Mid-year population estimate",2001,"Age 80-84",19311,11152,30463
"Mid-year population estimate",2001,"Age 85-89",11445,4771,16216
"Mid-year population estimate",2001,"Age 90+",5640,1604,7244
"Mid-year population estimate",2001,"All",864565,824273,1688838
"Mid-year population estimate",2002,"Age 0-4",54536,57552,112088
"Mid-year population estimate",2002,"Age 5-9",59120,62183,121303
"Mid-year population estimate",2002,"Age 10-14",63916,67151,131067
"Mid-year population estimate",2002,"Age 15-19",65028,68276,133304
"Mid-year population estimate",2002,"Age 20-24",55393,55713,111106
"Mid-year population estimate",2002,"Age 25-29",56581,55660,112241
"Mid-year population estimate",2002,"Age 30-34",64369,62332,126701
"Mid-year population estimate",2002,"Age 35-39",66680,64726,131406
"Mid-year population estimate",2002,"Age 40-44",61724,59061,120785
"Mid-year population estimate",2002,"Age 45-49",52610,52968,105578
"Mid-year population estimate",2002,"Age 50-54",49180,48255,97435
"Mid-year population estimate",2002,"Age 55-59",47337,45459,92796
"Mid-year population estimate",2002,"Age 60-64",38717,36178,74895
"Mid-year population estimate",2002,"Age 65-69",35365,31005,66370
"Mid-year population estimate",2002,"Age 70-74",32548,25312,57860
"Mid-year population estimate",2002,"Age 75-79",28072,19045,47117
"Mid-year population estimate",2002,"Age 80-84",20145,11610,31755
"Mid-year population estimate",2002,"Age 85-89",11355,4805,16160
"Mid-year population estimate",2002,"Age 90+",5872,1695,7567
"Mid-year population estimate",2002,"All",868548,828986,1697534
"Mid-year population estimate",2003,"Age 0-4",53445,56526,109971
"Mid-year population estimate",2003,"Age 5-9",58617,61744,120361
"Mid-year population estimate",2003,"Age 10-14",62816,65917,128733
"Mid-year population estimate",2003,"Age 15-19",65099,68236,133335
"Mid-year population estimate",2003,"Age 20-24",56717,57589,114306
"Mid-year population estimate",2003,"Age 25-29",55661,54452,110113
"Mid-year population estimate",2003,"Age 30-34",63718,61783,125501
"Mid-year population estimate",2003,"Age 35-39",67029,64978,132007
"Mid-year population estimate",2003,"Age 40-44",62771,60329,123100
"Mid-year population estimate",2003,"Age 45-49",54215,54029,108244
"Mid-year population estimate",2003,"Age 50-54",49223,48869,98092
"Mid-year population estimate",2003,"Age 55-59",47934,45899,93833
"Mid-year population estimate",2003,"Age 60-64",40241,37728,77969
"Mid-year population estimate",2003,"Age 65-69",35571,31627,67198
"Mid-year population estimate",2003,"Age 70-74",32520,25618,58138
"Mid-year population estimate",2003,"Age 75-79",27944,19183,47127
"Mid-year population estimate",2003,"Age 80-84",21064,12016,33080
"Mid-year population estimate",2003,"Age 85-89",11108,4817,15925
"Mid-year population estimate",2003,"Age 90+",6127,1764,7891
"Mid-year population estimate",2003,"All",871820,833104,1704924
"Mid-year population estimate",2004,"Age 0-4",52683,55866,108549
"Mid-year population estimate",2004,"Age 5-9",58094,61456,119550
"Mid-year population estimate",2004,"Age 10-14",62135,64748,126883
"Mid-year population estimate",2004,"Age 15-19",65145,68498,133643
"Mid-year population estimate",2004,"Age 20-24",57913,59017,116930
"Mid-year population estimate",2004,"Age 25-29",55527,54044,109571
"Mid-year population estimate",2004,"Age 30-34",62574,60669,123243
"Mid-year population estimate",2004,"Age 35-39",66842,64767,131609
"Mid-year population estimate",2004,"Age 40-44",64227,62224,126451
"Mid-year population estimate",2004,"Age 45-49",55983,54909,110892
"Mid-year population estimate",2004,"Age 50-54",49338,49512,98850
"Mid-year population estimate",2004,"Age 55-59",48302,46447,94749
"Mid-year population estimate",2004,"Age 60-64",41639,39313,80952
"Mid-year population estimate",2004,"Age 65-69",36183,32262,68445
"Mid-year population estimate",2004,"Age 70-74",32379,25897,58276
"Mid-year population estimate",2004,"Age 75-79",27993,19424,47417
"Mid-year population estimate",2004,"Age 80-84",21337,12319,33656
"Mid-year population estimate",2004,"Age 85-89",11288,5012,16300
"Mid-year population estimate",2004,"Age 90+",6209,1867,8076
"Mid-year population estimate",2004,"All",875791,838251,1714042
"Mid-year population estimate",2005,"Age 0-4",53117,56051,109168
"Mid-year population estimate",2005,"Age 5-9",57418,60900,118318
"Mid-year population estimate",2005,"Age 10-14",61277,63980,125257
"Mid-year population estimate",2005,"Age 15-19",64745,67871,132616
"Mid-year population estimate",2005,"Age 20-24",59356,60449,119805
"Mid-year population estimate",2005,"Age 25-29",56720,55262,111982
"Mid-year population estimate",2005,"Age 30-34",61540,59597,121137
"Mid-year population estimate",2005,"Age 35-39",66431,64443,130874
"Mid-year population estimate",2005,"Age 40-44",65710,63757,129467
"Mid-year population estimate",2005,"Age 45-49",58085,56548,114633
"Mid-year population estimate",2005,"Age 50-54",49515,50081,99596
"Mid-year population estimate",2005,"Age 55-59",48958,47105,96063
"Mid-year population estimate",2005,"Age 60-64",43073,40839,83912
"Mid-year population estimate",2005,"Age 65-69",36522,32743,69265
"Mid-year population estimate",2005,"Age 70-74",32189,26208,58397
"Mid-year population estimate",2005,"Age 75-79",28118,19535,47653
"Mid-year population estimate",2005,"Age 80-84",21297,12438,33735
"Mid-year population estimate",2005,"Age 85-89",11872,5520,17392
"Mid-year population estimate",2005,"Age 90+",6489,1974,8463
"Mid-year population estimate",2005,"All",882432,845301,1727733
"Mid-year population estimate",2006,"Age 0-4",54002,56802,110804
"Mid-year population estimate",2006,"Age 5-9",56745,59938,116683
"Mid-year population estimate",2006,"Age 10-14",60371,63296,123667
"Mid-year population estimate",2006,"Age 15-19",64189,67301,131490
"Mid-year population estimate",2006,"Age 20-24",60799,61933,122732
"Mid-year population estimate",2006,"Age 25-29",58508,56666,115174
"Mid-year population estimate",2006,"Age 30-34",60309,58559,118868
"Mid-year population estimate",2006,"Age 35-39",66433,64200,130633
"Mid-year population estimate",2006,"Age 40-44",66571,64707,131278
"Mid-year population estimate",2006,"Age 45-49",59931,58123,118054
"Mid-year population estimate",2006,"Age 50-54",50565,51225,101790
"Mid-year population estimate",2006,"Age 55-59",49173,47656,96829
"Mid-year population estimate",2006,"Age 60-64",44682,42379,87061
"Mid-year population estimate",2006,"Age 65-69",36622,33105,69727
"Mid-year population estimate",2006,"Age 70-74",32261,26752,59013
"Mid-year population estimate",2006,"Age 75-79",28197,19848,48045
"Mid-year population estimate",2006,"Age 80-84",21580,12645,34225
"Mid-year population estimate",2006,"Age 85-89",12409,5934,18343
"Mid-year population estimate",2006,"Age 90+",6656,2041,8697
"Mid-year population estimate",2006,"All",890003,853110,1743113
"Mid-year population estimate",2007,"Age 0-4",55272,58442,113714
"Mid-year population estimate",2007,"Age 5-9",55679,58872,114551
"Mid-year population estimate",2007,"Age 10-14",60272,63022,123294
"Mid-year population estimate",2007,"Age 15-19",63608,66472,130080
"Mid-year population estimate",2007,"Age 20-24",62351,63238,125589
"Mid-year population estimate",2007,"Age 25-29",60878,58713,119591
"Mid-year population estimate",2007,"Age 30-34",59884,57777,117661
"Mid-year population estimate",2007,"Age 35-39",66081,63927,130008
"Mid-year population estimate",2007,"Age 40-44",67346,65542,132888
"Mid-year population estimate",2007,"Age 45-49",61550,59715,121265
"Mid-year population estimate",2007,"Age 50-54",52164,52580,104744
"Mid-year population estimate",2007,"Age 55-59",48543,47537,96080
"Mid-year population estimate",2007,"Age 60-64",46402,43888,90290
"Mid-year population estimate",2007,"Age 65-69",37114,33847,70961
"Mid-year population estimate",2007,"Age 70-74",32696,27394,60090
"Mid-year population estimate",2007,"Age 75-79",28142,20089,48231
"Mid-year population estimate",2007,"Age 80-84",21722,12978,34700
"Mid-year population estimate",2007,"Age 85-89",13021,6187,19208
"Mid-year population estimate",2007,"Age 90+",6702,2036,8738
"Mid-year population estimate",2007,"All",899427,862256,1761683
"Mid-year population estimate",2008,"Age 0-4",57291,60564,117855
"Mid-year population estimate",2008,"Age 5-9",54846,57892,112738
"Mid-year population estimate",2008,"Age 10-14",59939,62948,122887
"Mid-year population estimate",2008,"Age 15-19",62849,65458,128307
"Mid-year population estimate",2008,"Age 20-24",63019,63639,126658
"Mid-year population estimate",2008,"Age 25-29",62991,60785,123776
"Mid-year population estimate",2008,"Age 30-34",59524,57186,116710
"Mid-year population estimate",2008,"Age 35-39",65573,63312,128885
"Mid-year population estimate",2008,"Age 40-44",68001,65906,133907
"Mid-year population estimate",2008,"Age 45-49",62860,61287,124147
"Mid-year population estimate",2008,"Age 50-54",53875,53955,107830
"Mid-year population estimate",2008,"Age 55-59",48474,48034,96508
"Mid-year population estimate",2008,"Age 60-64",47005,44439,91444
"Mid-year population estimate",2008,"Age 65-69",38571,35261,73832
"Mid-year population estimate",2008,"Age 70-74",32999,28111,61110
"Mid-year population estimate",2008,"Age 75-79",28293,20543,48836
"Mid-year population estimate",2008,"Age 80-84",21699,13093,34792
"Mid-year population estimate",2008,"Age 85-89",13552,6476,20028
"Mid-year population estimate",2008,"Age 90+",6793,2109,8902
"Mid-year population estimate",2008,"All",908154,870998,1779152
"Mid-year population estimate",2009,"Age 0-4",58870,62084,120954
"Mid-year population estimate",2009,"Age 5-9",54034,57246,111280
"Mid-year population estimate",2009,"Age 10-14",59502,62649,122151
"Mid-year population estimate",2009,"Age 15-19",62481,64958,127439
"Mid-year population estimate",2009,"Age 20-24",62977,64126,127103
"Mid-year population estimate",2009,"Age 25-29",63826,61882,125708
"Mid-year population estimate",2009,"Age 30-34",59898,57152,117050
"Mid-year population estimate",2009,"Age 35-39",64664,62346,127010
"Mid-year population estimate",2009,"Age 40-44",67857,65481,133338
"Mid-year population estimate",2009,"Age 45-49",64520,63028,127548
"Mid-year population estimate",2009,"Age 50-54",55684,55125,110809
"Mid-year population estimate",2009,"Age 55-59",48606,48639,97245
"Mid-year population estimate",2009,"Age 60-64",47351,44980,92331
"Mid-year population estimate",2009,"Age 65-69",39990,36840,76830
"Mid-year population estimate",2009,"Age 70-74",33583,28847,62430
"Mid-year population estimate",2009,"Age 75-79",28282,20952,49234
"Mid-year population estimate",2009,"Age 80-84",21808,13333,35141
"Mid-year population estimate",2009,"Age 85-89",13883,6679,20562
"Mid-year population estimate",2009,"Age 90+",6955,2215,9170
"Mid-year population estimate",2009,"All",914771,878562,1793333
"Mid-year population estimate",2010,"Age 0-4",60279,63311,123590
"Mid-year population estimate",2010,"Age 5-9",53981,56988,110969
"Mid-year population estimate",2010,"Age 10-14",58620,61967,120587
"Mid-year population estimate",2010,"Age 15-19",61776,64465,126241
"Mid-year population estimate",2010,"Age 20-24",62515,63756,126271
"Mid-year population estimate",2010,"Age 25-29",63957,61922,125879
"Mid-year population estimate",2010,"Age 30-34",60845,58003,118848
"Mid-year population estimate",2010,"Age 35-39",63282,61048,124330
"Mid-year population estimate",2010,"Age 40-44",67359,64944,132303
"Mid-year population estimate",2010,"Age 45-49",66077,64441,130518
"Mid-year population estimate",2010,"Age 50-54",57713,56586,114299
"Mid-year population estimate",2010,"Age 55-59",48821,49148,97969
"Mid-year population estimate",2010,"Age 60-64",47758,45636,93394
"Mid-year population estimate",2010,"Age 65-69",41483,38408,79891
"Mid-year population estimate",2010,"Age 70-74",33974,29278,63252
"Mid-year population estimate",2010,"Age 75-79",28331,21581,49912
"Mid-year population estimate",2010,"Age 80-84",22079,13671,35750
"Mid-year population estimate",2010,"Age 85-89",14098,6879,20977
"Mid-year population estimate",2010,"Age 90+",7350,2503,9853
"Mid-year population estimate",2010,"All",920298,884535,1804833
"Mid-year population estimate",2011,"Age 0-4",61551,64543,126094
"Mid-year population estimate",2011,"Age 5-9",54406,57415,111821
"Mid-year population estimate",2011,"Age 10-14",57597,60751,118348
"Mid-year population estimate",2011,"Age 15-19",61184,63824,125008
"Mid-year population estimate",2011,"Age 20-24",61715,63331,125046
"Mid-year population estimate",2011,"Age 25-29",63562,61435,124997
"Mid-year population estimate",2011,"Age 30-34",62002,58725,120727
"Mid-year population estimate",2011,"Age 35-39",61681,59529,121210
"Mid-year population estimate",2011,"Age 40-44",67151,64393,131544
"Mid-year population estimate",2011,"Age 45-49",66863,65226,132089
"Mid-year population estimate",2011,"Age 50-54",59499,58214,117713
"Mid-year population estimate",2011,"Age 55-59",49822,50108,99930
"Mid-year population estimate",2011,"Age 60-64",47914,46115,94029
"Mid-year population estimate",2011,"Age 65-69",43030,40021,83051
"Mid-year population estimate",2011,"Age 70-74",34063,29637,63700
"Mid-year population estimate",2011,"Age 75-79",28602,22104,50706
"Mid-year population estimate",2011,"Age 80-84",22381,14159,36540
"Mid-year population estimate",2011,"Age 85-89",14219,7116,21335
"Mid-year population estimate",2011,"Age 90+",7754,2676,10430
"Mid-year population estimate",2011,"All",924996,889322,1814318
"Mid-year population estimate",2012,"Age 0-4",62040,65012,127052
"Mid-year population estimate",2012,"Age 5-9",55579,58737,114316
"Mid-year population estimate",2012,"Age 10-14",56316,59344,115660
"Mid-year population estimate",2012,"Age 15-19",60854,63306,124160
"Mid-year population estimate",2012,"Age 20-24",60901,62717,123618
"Mid-year population estimate",2012,"Age 25-29",63656,61680,125336
"Mid-year population estimate",2012,"Age 30-34",62845,59559,122404
"Mid-year population estimate",2012,"Age 35-39",60381,57946,118327
"Mid-year population estimate",2012,"Age 40-44",66315,63903,130218
"Mid-year population estimate",2012,"Age 45-49",67448,65721,133169
"Mid-year population estimate",2012,"Age 50-54",61202,59626,120828
"Mid-year population estimate",2012,"Age 55-59",51439,51594,103033
"Mid-year population estimate",2012,"Age 60-64",47358,46155,93513
"Mid-year population estimate",2012,"Age 65-69",44664,41481,86145
"Mid-year population estimate",2012,"Age 70-74",34685,30409,65094
"Mid-year population estimate",2012,"Age 75-79",29021,22813,51834
"Mid-year population estimate",2012,"Age 80-84",22590,14593,37183
"Mid-year population estimate",2012,"Age 85-89",14291,7382,21673
"Mid-year population estimate",2012,"Age 90+",8151,2889,11040
"Mid-year population estimate",2012,"All",929736,894867,1824603
"Mid-year population estimate",2013,"Age 0-4",61715,64436,126151
"Mid-year population estimate",2013,"Age 5-9",57431,60629,118060
"Mid-year population estimate",2013,"Age 10-14",55242,57981,113223
"Mid-year population estimate",2013,"Age 15-19",60187,63072,123259
"Mid-year population estimate",2013,"Age 20-24",60258,61279,121537
"Mid-year population estimate",2013,"Age 25-29",63528,61236,124764
"Mid-year population estimate",2013,"Age 30-34",63512,60039,123551
"Mid-year population estimate",2013,"Age 35-39",59370,56661,116031
"Mid-year population estimate",2013,"Age 40-44",65352,62781,128133
"Mid-year population estimate",2013,"Age 45-49",67926,65732,133658
"Mid-year population estimate",2013,"Age 50-54",62544,61119,123663
"Mid-year population estimate",2013,"Age 55-59",53186,53088,106274
"Mid-year population estimate",2013,"Age 60-64",47387,46541,93928
"Mid-year population estimate",2013,"Age 65-69",45290,42152,87442
"Mid-year population estimate",2013,"Age 70-74",36164,31927,68091
"Mid-year population estimate",2013,"Age 75-79",29300,23524,52824
"Mid-year population estimate",2013,"Age 80-84",22756,15046,37802
"Mid-year population estimate",2013,"Age 85-89",14433,7525,21958
"Mid-year population estimate",2013,"Age 90+",8300,3028,11328
"Mid-year population estimate",2013,"All",933881,897796,1831677
"Mid-year population estimate",2014,"Age 0-4",61227,63910,125137
"Mid-year population estimate",2014,"Age 5-9",59085,62203,121288
"Mid-year population estimate",2014,"Age 10-14",54722,57403,112125
"Mid-year population estimate",2014,"Age 15-19",59636,62790,122426
"Mid-year population estimate",2014,"Age 20-24",59795,60762,120557
"Mid-year population estimate",2014,"Age 25-29",63359,61181,124540
"Mid-year population estimate",2014,"Age 30-34",63849,60555,124404
"Mid-year population estimate",2014,"Age 35-39",59594,56454,116048
"Mid-year population estimate",2014,"Age 40-44",64270,61708,125978
"Mid-year population estimate",2014,"Age 45-49",67788,65311,133099
"Mid-year population estimate",2014,"Age 50-54",64232,62654,126886
"Mid-year population estimate",2014,"Age 55-59",55103,54427,109530
"Mid-year population estimate",2014,"Age 60-64",47602,47172,94774
"Mid-year population estimate",2014,"Age 65-69",45553,42630,88183
"Mid-year population estimate",2014,"Age 70-74",37605,33483,71088
"Mid-year population estimate",2014,"Age 75-79",29996,24367,54363
"Mid-year population estimate",2014,"Age 80-84",22797,15556,38353
"Mid-year population estimate",2014,"Age 85-89",14610,7756,22366
"Mid-year population estimate",2014,"Age 90+",8776,3265,12041
"Mid-year population estimate",2014,"All",939599,903587,1843186
"Mid-year population estimate",2015,"Age 0-4",60941,63607,124548
"Mid-year population estimate",2015,"Age 5-9",60373,63401,123774
"Mid-year population estimate",2015,"Age 10-14",54978,57456,112434
"Mid-year population estimate",2015,"Age 15-19",58855,62060,120915
"Mid-year population estimate",2015,"Age 20-24",58982,60512,119494
"Mid-year population estimate",2015,"Age 25-29",63162,61031,124193
"Mid-year population estimate",2015,"Age 30-34",63850,60765,124615
"Mid-year population estimate",2015,"Age 35-39",60829,57577,118406
"Mid-year population estimate",2015,"Age 40-44",62883,60693,123576
"Mid-year population estimate",2015,"Age 45-49",67170,64737,131907
"Mid-year population estimate",2015,"Age 50-54",65754,64067,129821
"Mid-year population estimate",2015,"Age 55-59",57168,55918,113086
"Mid-year population estimate",2015,"Age 60-64",47875,47802,95677
"Mid-year population estimate",2015,"Age 65-69",45925,43262,89187
"Mid-year population estimate",2015,"Age 70-74",38994,34943,73937
"Mid-year population estimate",2015,"Age 75-79",30312,24770,55082
"Mid-year population estimate",2015,"Age 80-84",22890,16049,38939
"Mid-year population estimate",2015,"Age 85-89",14844,8067,22911
"Mid-year population estimate",2015,"Age 90+",8988,3453,12441
"Mid-year population estimate",2015,"All",944773,910170,1854943
"Mid-year population estimate",2016,"Age 0-4",60276,63502,123778
"Mid-year population estimate",2016,"Age 5-9",61681,64567,126248
"Mid-year population estimate",2016,"Age 10-14",55510,58155,113665
"Mid-year population estimate",2016,"Age 15-19",57962,60810,118772
"Mid-year population estimate",2016,"Age 20-24",57912,60122,118034
"Mid-year population estimate",2016,"Age 25-29",62687,60577,123264
"Mid-year population estimate",2016,"Age 30-34",64000,61089,125089
"Mid-year population estimate",2016,"Age 35-39",62162,58752,120914
"Mid-year population estimate",2016,"Age 40-44",61358,59325,120683
"Mid-year population estimate",2016,"Age 45-49",66960,64197,131157
"Mid-year population estimate",2016,"Age 50-54",66441,64838,131279
"Mid-year population estimate",2016,"Age 55-59",59155,57448,116603
"Mid-year population estimate",2016,"Age 60-64",48951,48812,97763
"Mid-year population estimate",2016,"Age 65-69",46167,43929,90096
"Mid-year population estimate",2016,"Age 70-74",40335,36408,76743
"Mid-year population estimate",2016,"Age 75-79",30519,25243,55762
"Mid-year population estimate",2016,"Age 80-84",23371,16577,39948
"Mid-year population estimate",2016,"Age 85-89",15042,8483,23525
"Mid-year population estimate",2016,"Age 90+",9179,3540,12719
"Mid-year population estimate",2016,"All",949668,916374,1866042
"Mid-year population estimate",2017,"Age 0-4",59374,62562,121936
"Mid-year population estimate",2017,"Age 5-9",62477,65300,127777
"Mid-year population estimate",2017,"Age 10-14",56562,59586,116148
"Mid-year population estimate",2017,"Age 15-19",56373,59183,115556
"Mid-year population estimate",2017,"Age 20-24",57122,59726,116848
"Mid-year population estimate",2017,"Age 25-29",62129,60075,122204
"Mid-year population estimate",2017,"Age 30-34",64458,61395,125853
"Mid-year population estimate",2017,"Age 35-39",63523,59896,123419
"Mid-year population estimate",2017,"Age 40-44",60236,58026,118262
"Mid-year population estimate",2017,"Age 45-49",66162,63794,129956
"Mid-year population estimate",2017,"Age 50-54",67058,65303,132361
"Mid-year population estimate",2017,"Age 55-59",60886,58876,119762
"Mid-year population estimate",2017,"Age 60-64",50529,50287,100816
"Mid-year population estimate",2017,"Age 65-69",45607,43859,89466
"Mid-year population estimate",2017,"Age 70-74",41926,37873,79799
"Mid-year population estimate",2017,"Age 75-79",31007,26007,57014
"Mid-year population estimate",2017,"Age 80-84",23788,17272,41060
"Mid-year population estimate",2017,"Age 85-89",15163,8739,23902
"Mid-year population estimate",2017,"Age 90+",9335,3704,13039
"Mid-year population estimate",2017,"All",953715,921463,1875178
"Mid-year population estimate",2018,"Age 0-4",58630,61939,120569
"Mid-year population estimate",2018,"Age 5-9",62362,65047,127409
"Mid-year population estimate",2018,"Age 10-14",58330,61433,119763
"Mid-year population estimate",2018,"Age 15-19",55572,58282,113854
"Mid-year population estimate",2018,"Age 20-24",56826,59910,116736
"Mid-year population estimate",2018,"Age 25-29",61150,59439,120589
"Mid-year population estimate",2018,"Age 30-34",65141,61793,126934
"Mid-year population estimate",2018,"Age 35-39",64671,61078,125749
"Mid-year population estimate",2018,"Age 40-44",59605,57133,116738
"Mid-year population estimate",2018,"Age 45-49",65342,63139,128481
"Mid-year population estimate",2018,"Age 50-54",67620,65501,133121
"Mid-year population estimate",2018,"Age 55-59",62117,60313,122430
"Mid-year population estimate",2018,"Age 60-64",52217,51680,103897
"Mid-year population estimate",2018,"Age 65-69",45793,44308,90101
"Mid-year population estimate",2018,"Age 70-74",42393,38465,80858
"Mid-year population estimate",2018,"Age 75-79",32377,27287,59664
"Mid-year population estimate",2018,"Age 80-84",24053,17805,41858
"Mid-year population estimate",2018,"Age 85-89",15308,9053,24361
